"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","JLCPCB Part#(optional)"
"AE1","1","Antenna_Chip","","","","RF_Antenna:Johanson_2450AT18x100","~","C2917717"
"C1,C2,C3,C4","4","12p","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C107034"
"C5","1","1p","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C172832"
"C6","1","1.2p","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C50388"
"C7,C11,C22,C40,C42,C43","6","1u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","C88945"
"C8","1","47n","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C85925"
"C9,C10,C26","3","100p","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C62550"
"C12,C20,C25,C27,C31,C32","6","100n","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C161494"
"C21,C23","2","4.7u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","C1538"
"C24,C41","2","10u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","C15525"
"C30","1","10n","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","C1524"
"C33","1","2.2n","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C80433"
"D3","1","LED_Small","","","","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","C20608782"
"D40,D41","2","LED","","","","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","C20608782"
"J2","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal","~","C428495"
"L1","1","2.2n","","","","Inductor_SMD:L_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C2043482"
"L2","1","4.7n","","","","Inductor_SMD:L_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C2047913"
"L5","1","10u","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","C1035"
"L6","1","15n","","","","Inductor_SMD:L_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","C81212"
"R1,R20","2","10k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","C25531"
"R2,R3,R5,R22,R23","5","4k7","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","C22369185"
"R4","1","300","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","C25097"
"R21","1","200k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","C22369193"
"R40,R41","2","1k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","C11702"
"R42","1","20k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","C25545"
"Reset_SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3S-1000","~","C2733655"
"U1","1","MCP1700x-180xxMB","","","","Package_TO_SOT_SMD:SOT-89-3","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf","C631991"
"U2","1","MAX30102","","","","OptoDevice:Maxim_OLGA-14_3.3x5.6mm_P0.8mm","https://datasheets.maximintegrated.com/en/ds/MAX30102.pdf","C6454833"
"U3","1","MPU-6050","","","","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf","C24112"
"U4","1","MCP1700x-330xxMB","","","","Package_TO_SOT_SMD:SOT-23","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf","C39051"
"U5","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","C382139"
"U6","1","nRF52840-QFXX","","","","Package_DFN_QFN:QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm","https://docs-be.nordicsemi.com/bundle/ps_nrf52840/attach/nRF52840_PS_v1.11.pdf?_LANG=enus","C9900145907"
"U7","1","PCA9306","","","","Package_SON:X2SON-8_1.4x1mm_P0.35mm","http://www.ti.com/lit/ds/symlink/pca9306.pdf","C33196"
"Y1","1","32MHz","","","","Oscillator:Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm","~","C252280"
"Y2","1","32.768kHz","","","","Crystal:Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm_HandSoldering","~","C2449817"
